County,StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
02198,02,6,1,3,171,3,0.75,0.5481770833333334,0.0,25.0,25.0,17.28125,0.0,9.487605996027348,4.0,3.0,2.3932291666666665,0.0,0.9777477189501457,6
02220,02,1,1,2,110,2,0.8300653594771242,0.4934640522875817,0.4477124183006536,2000.0,15.0,901.1928104575163,0.0,990.9673657993426,50.0,1.0,22.92156862745098,0.0,24.446134673648515,1
02230,02,1,1,1,82,1,1.0,1.0,0.359375,200.0,25.0,87.890625,25.0,84.29795622213118,20.0,3.0,9.109375,3.0,8.188944318721314,1
02240,02,4,1,2,317,6,0.8936170212765957,0.7843971631205674,0.019858156028368795,1000.0,25.0,45.768794326241135,0.0,121.72402038074111,200.0,3.0,5.225531914893617,0.0,12.134164849761216,4
02275,02,1,1,1,59,2,0.7720588235294118,0.7720588235294118,0.39705882352941174,2000.0,25.0,803.4926470588235,0.0,974.6042539397134,50.0,3.0,20.977941176470587,0.0,23.665717324234826,1
02282,02,1,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
02290,02,7,1,4,364,6,0.4410927717700626,0.11155378486055777,0.0,50.0,4.0,8.637450199203187,0.0,11.116796987962807,15.0,1.0,1.8357199772339214,0.0,2.409005043040968,7
04001,04,11,1,18,1363,10,0.9488838990886277,0.13905032360322284,0.034539690925901465,115.0,10.0,17.728437458724077,0.0,22.967411410782553,100.0,2.0,2.795693699643376,0.0,3.948719636437617,11
04003,04,22,1,38,927,19,0.9583716372088182,0.39378696685341613,0.10079267340814875,1000.0,20.0,71.391454044022,0.0,208.3476613957525,1000.0,5.0,30.419898392104486,0.0,155.06732991731178,22
04005,04,10,1,39,1484,23,0.9314251891937598,0.3180991840358517,0.12019616961907581,1000.0,9.0,106.20358939669387,0.0,280.36430717716803,1000.0,2.0,10.335760368663594,0.0,56.343268871886416,10
04007,04,9,1,16,395,20,0.9503575357535754,0.7922167216721672,0.2938668866886689,5000.0,40.0,197.1606193619362,0.0,435.10206780372835,5000.0,5.0,33.37743811881188,0.0,304.0145109306224,9
04009,04,8,1,9,469,11,0.9089967548159912,0.42518815162604434,0.21749637506041566,1000.0,15.0,230.6177242284057,0.0,405.7132102037868,1000.0,3.0,85.29786149278465,0.0,261.69833267993414,8
04011,04,4,1,3,374,7,0.9942426926483614,0.43976970770593443,0.1474756421612046,1000.0,20.0,168.07174490699734,0.0,346.26791385098454,1000.0,5.0,77.16283436669619,0.0,251.74349418031198,4
04012,04,6,1,11,471,13,0.9403817914831131,0.4851688693098385,0.2251101321585903,1000.0,18.0,46.602055800293684,0.0,93.14736717815416,50.0,2.0,4.93456093979442,0.0,6.2399936303305905,6
04013,04,55,1,1000,1047,68,0.888330155131847,0.8495274506023872,0.39738977137853426,1000.0,50.0,332.795976457308,0.0,435.56884577667006,1000.0,5.0,62.938982823775895,0.0,208.50949461628292,55
04015,04,14,1,66,1258,30,0.9580526213646067,0.30659291912722836,0.1141423382960437,1000.0,15.0,115.4635906179822,0.0,293.75479000868216,1000.0,2.0,14.794033380465219,0.0,87.79425081057978,14
04017,04,11,1,37,913,14,0.9584379358437936,0.272629009762901,0.1506276150627615,5000.0,15.0,140.0475941422594,0.0,324.7515202670442,5000.0,1.5,8.107144142259415,0.0,33.47512288984758,11
04019,04,16,1,270,720,36,0.9021027776744878,0.6614918380247649,0.22491912393559663,1200.0,25.0,194.80764046406128,0.0,378.08526559701136,1000.0,7.0,21.087002435578032,0.0,96.58651615361552,16
04021,04,18,1,95,1134,30,0.9410530522529723,0.41558750970280595,0.1333031041293605,1200.0,20.0,122.50747019989701,0.0,285.23934996331144,1000.0,10.0,22.388327950997947,0.0,104.9431940307505,18
04023,04,6,1,14,354,15,0.8642103442311019,0.6494551115723923,0.14046012800553537,1000.0,25.0,156.3171596609583,0.0,339.77781629665753,50.0,7.0,11.269915585538834,0.0,13.575922864129824,6
04025,04,24,1,72,686,26,0.9383796550943152,0.7210340699517909,0.20490503769372634,5000.0,40.0,156.4004837091921,0.0,361.5164394715829,5000.0,5.0,24.85024518717443,0.0,212.89596894019724,24
04027,04,9,1,66,480,16,0.8604280014508524,0.7247733043162858,0.35281102647805584,1000.0,25.0,356.77007878128404,0.0,464.2822764687506,1000.0,4.0,14.8054108088502,0.0,29.76039015726261,9
05001,05,2,1,8,460,10,0.8834067547723935,0.5318649045521292,0.07165932452276065,1200.0,25.0,62.635847283406754,0.0,177.88765192042655,1000.0,2.0,38.68682290748899,0.0,178.6064130776288,2
05003,05,3,1,7,371,7,0.907608695652174,0.5513833992094862,0.21541501976284586,1024.0,25.0,127.35169169960474,0.0,282.88220133310347,1024.0,3.0,116.55071541501975,0.0,286.9377605645715,3
05005,05,6,1,10,494,12,0.9299551645376871,0.7006175450469504,0.4028423991202098,1000.0,25.0,406.88156027408843,0.0,479.08856525390746,1000.0,4.0,272.0953997123763,0.0,435.05023551680955,6
05007,05,8,1,57,447,28,0.9501989766913018,0.7658897100625355,0.3206935758953951,1000.0,30.0,290.0800823194997,0.0,425.94825071886726,1000.0,5.0,78.84229215463331,0.0,242.63127159838857,8
05009,05,6,1,7,611,15,0.9366674278754662,0.8260637892974043,0.45170130166704725,1000.0,30.0,330.2481455431225,0.0,441.2317863711223,1000.0,20.0,167.9452427494862,0.0,344.9983450806849,6
05011,05,3,1,5,270,8,0.9473684210526315,0.3643724696356275,0.31983805668016196,1000.0,20.0,152.90168883747833,0.0,288.9161962251688,1000.0,1.5,103.38445806824754,0.0,295.36463030739367,3
05013,05,3,1,2,303,5,0.9739534883720931,0.9311627906976744,0.761860465116279,1000.0,1000.0,761.8846511627906,0.0,419.77205971797775,1000.0,1000.0,758.4253990697674,0.0,425.88340499458315,3
05015,05,5,1,8,363,14,0.9476237623762376,0.885940594059406,0.16633663366336635,1000.0,25.0,143.86520554455444,0.0,312.904068813785,1000.0,3.0,46.43498910891089,0.0,163.91659448827713,5
05017,05,3,1,4,258,8,0.9625418060200669,0.5979933110367893,0.27759197324414714,200.0,25.0,47.4889525083612,0.0,51.37092619762032,25.0,3.0,7.14182474916388,0.0,8.056167297635989,3
