LEADID,StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
5303150,53,1,2,5,288,10,0.7277243092207389,0.3278484942564421,0.06799130704750078,1000.0,20.0,80.49782676187519,0.0,244.40217243241833,35.0,3.0,6.33240608506675,0.0,8.573658927797334,1
5303180,53,1,1,8,564,14,0.6659373948165601,0.33204308313699094,0.09256142712891283,1000.0,20.0,77.4982780208684,0.0,236.7786814828298,50.0,3.0,7.1867724671827675,0.0,11.365997745428913,1
5303210,53,1,1,9,315,9,0.9088210347752332,0.4482612383375742,0.17557251908396945,3000.0,20.0,189.7805699745547,0.0,408.71000606993863,3000.0,4.0,15.289594571670909,0.0,96.42714818015298,1
5303240,53,1,1,3,154,7,0.68688293370945,0.5416078984485191,0.3709449929478138,1200.0,25.0,384.925952045134,0.0,485.4941507652127,1000.0,3.0,202.37097320169252,0.0,396.02084535408824,1
5303270,53,1,1,4,285,16,0.8725734196117472,0.5629666500746641,0.08909905425584869,1200.0,25.0,112.39068392234942,0.0,309.11468331472287,940.0,10.0,15.934437033349925,0.0,83.23776810294176,1
5303300,53,1,1,3,153,6,0.9477806788511749,0.6292428198433421,0.23237597911227154,1200.0,25.0,134.44451697127937,0.0,325.8935166162584,1000.0,4.0,16.601710182767622,0.0,77.17584382669841,1
5303330,53,1,1,2,129,6,0.9243697478991597,0.7871148459383753,0.38375350140056025,1200.0,40.0,396.609243697479,0.0,540.0332575055605,1000.0,4.0,16.33519887955182,0.0,54.25636477733082,1
5303360,53,1,1,3,702,14,0.9274750575594781,0.6995395241749808,0.0034535686876438986,400.0,25.0,25.5056239447429,0.0,14.365903366141747,100.0,3.0,5.4556515732924025,0.0,6.712020904447365,1
5303440,53,1,2,3,805,16,0.9563073784427065,0.7691261475688541,0.46769806188371305,1000.0,40.0,476.43565113906834,0.0,487.14806512657447,1000.0,30.0,442.6225902754165,0.0,488.4529732028164,1
5303510,53,1,1,5,449,13,0.6497816593886463,0.4570596797671033,0.26404657933042214,2000.0,20.0,177.21004716157205,0.0,484.32003531871624,2000.0,3.0,130.81302590975255,0.0,464.9580255211401,1
5303540,53,1,1,34,257,25,0.8312545854732208,0.7611151870873074,0.46338958180484224,1200.0,40.0,444.87835656639766,0.0,526.1368466331078,940.0,4.0,149.423900513573,0.0,328.3870780180161,1
5303570,53,1,1,9,135,7,0.9383033419023136,0.6368894601542416,0.39524421593830333,3000.0,25.0,369.41998714652954,0.0,521.1818499950325,3000.0,10.0,55.00003727506427,0.0,201.6239380768417,1
5303600,53,1,1,6,211,8,0.6766507828454731,0.5554799183117767,0.41456773315180395,1200.0,25.0,423.3866657590197,0.0,490.46435049572005,1000.0,3.0,232.11047379169506,0.0,416.7759465192772,1
5303660,53,1,1,7,650,9,0.5435870424018963,0.475375296286542,0.2970766394521991,1200.0,20.0,262.1270160653147,0.0,445.8014611152436,940.0,1.5,74.41517461153542,0.0,239.38904545848374,1
5303720,53,1,1,2,175,5,0.9080675422138836,0.5309568480300187,0.24577861163227016,1200.0,25.0,257.08818011257034,0.0,464.59858746320947,1000.0,3.0,10.822994371482176,0.0,44.84730061844576,1
5303750,53,1,1,41,174,20,0.9126912691269127,0.8246324632463247,0.40339033903390337,1200.0,25.0,358.1559405940594,0.0,511.89441554936997,1000.0,4.0,45.485306330633065,0.0,174.3962910224374,1
5303780,53,1,1,2,452,13,0.5139470013947002,0.33542538354253837,0.07043235704323571,1000.0,10.0,81.25871687587168,0.0,249.37205437771746,1000.0,1.0,68.49108926080892,0.0,246.9153455935318,1
5303810,53,1,1,8,396,12,0.5888516345347863,0.393964794635373,0.18357082984073764,1200.0,18.0,195.74518021793799,0.0,415.66168313907576,1000.0,2.0,29.654241408214588,0.0,144.36308528446855,1
5303870,53,1,1,1,86,5,0.9030303030303031,0.4303030303030303,0.0,60.0,20.0,21.08950303030303,0.0,10.516830890103126,10.0,10.0,6.946327272727273,0.0,4.181585889441474,1
5303930,53,1,1,23,349,21,0.7580559957739038,0.48265539707695015,0.21729177672125374,1000.0,20.0,226.5672213417855,0.0,403.4273770832902,1000.0,8.0,75.39094329987674,0.0,247.12011353174367,1
5303960,53,1,1,53,282,23,0.8506197824437136,0.7687832026309133,0.3822413356944093,3000.0,25.0,350.7196433088793,0.0,514.4759304040726,3000.0,4.0,31.9609494055148,0.0,136.7892937436889,1
5303990,53,1,2,6,493,16,0.9491842738700187,0.729606846750468,0.058304359454399574,1000.0,30.0,64.4104947847018,0.0,176.31104939908218,250.0,6.0,8.945784969243114,0.0,23.245303517482427,1
5304020,53,1,1,7,355,14,0.6947019867549669,0.49271523178807947,0.09933774834437085,1000.0,20.0,106.4376715231788,0.0,282.18304028728113,1000.0,3.0,21.341952317880796,0.0,122.06269168984213,1
5304050,53,1,1,2,590,13,0.7213114754098361,0.4104789456766313,0.07360977177756349,1000.0,20.0,83.57602057216329,0.0,239.25828566133194,250.0,3.0,7.8013796207007395,0.0,18.115883598628507,1
5304080,53,1,1,2,551,9,0.5065632458233891,0.17840095465393796,0.09009546539379475,2000.0,5.0,80.93347255369929,0.0,260.935158448876,2000.0,0.75,8.679324582338902,0.0,86.65910795128868,1
5304110,53,1,1,5,275,7,0.9261954261954262,0.2203742203742204,0.06548856548856549,1200.0,20.0,84.5935550935551,0.0,266.93232057387263,1000.0,10.0,10.080091476091477,0.0,37.15061753805506,1
5304150,53,1,2,3,722,17,0.9191881918819188,0.6612546125461255,0.15424354243542435,1000.0,25.0,109.14963099630997,0.0,259.93205701025795,1000.0,4.0,92.39315571955719,0.0,264.9464080843976,1
5304170,53,1,1,5,179,8,0.9333333333333333,0.6658333333333334,0.2575,1200.0,25.0,217.17666666666668,0.0,424.4232480085145,1000.0,4.0,24.80132,0.0,111.68127821297388,1
5304200,53,1,1,14,262,10,0.9119517910947439,0.4844325410110479,0.20857047204553064,1200.0,20.0,254.4740542350184,0.0,465.65422102997064,1000.0,4.0,34.15785738198862,0.0,152.29604479320574,1
